"Location","Date","Description","Deaths","Injuries"
"Saudi Arabia","20 November 1979","The Grand Mosque seizure, in Mecca by the Ikhwan.","244","180"
"Syria","29 November 1981","The 1981 Azbakiyah bombing, in Damascus, by the Muslim Brotherhood.,","200",""
"Lebanon","April 18, 1983","The 1983 U.S. Embassy bombing, in Beirut by the Islamic Jihad Organization.","63","120"
"Lebanon","October 23, 1983","The 1983 Beirut barracks bombing by the Islamic Jihad Organization.","307","75"
"Kuwait","December 12, 1983","The 90-minute coordinated 1983 Kuwait bombings of six key foreign and Kuwaiti installations including two embassies, the airport, and the country's main petro-chemical plant, was more notable for the damage it might have caused than what was actually destroyed. What could have been ""the worst terrorist episode of the twentieth century in the Middle East"" succeeded in killing only six people because of the bombs' faulty rigging.","5","0"
"Lebanon","September 20, 1984","The 1984 United States embassy annex bombing in Beirut.","24","0"
"Indonesia","January 21, 1985","The Buddhist Borobudur temple in Java was damaged by 9 bombs.","0","0"
"Spain","April 12, 1985","1985 El Descanso bombing.","18","82"
"Greece","June 14, 1985","TWA Flight 847 hijacking.","1","0"
"Denmark","22 July 1985","1985 Copenhagen bombings","1","26"
"Turkey","September 6, 1986","Neve Shalom Synagogue attack.","22","0"
"Israel","July 7, 1989","Tel Aviv Jerusalem bus 405 suicide attack, near Kiryat Yearim.","16","0"
"Egypt","February 4, 1990","A bus carrying Israeli tourists in Egypt was attacked by Islamic Jihad Movement in Palestine.","11","17"
"China","February 2, 1992","1992 Ürümqi bombings","3","23"
"Argentina","March 17, 1992","The 1992 attack on Israeli embassy in Buenos Aires","29","242"
"Yemen","December 29, 1992","The 1992 Yemen hotel bombings by al-Qaeda","2","7"
"United States","January 25, 1993","1993 shootings at CIA Headquarters in Langley, Virginia.","2","3"
"United States","February 26, 1993","World Trade Center bombing, in New York City.","6","1,042"
"India","March 12, 1993","Serial blasts in Mumbai","257","0"
"Turkey","July 2, 1993","Sivas Massacre, Arson attack at a gathering in Sivas killing 35 intellectuals from Turkey, most of whom were Alevis.","35","0"
"Israel","April 6, 1994","Afula Bus suicide bombing","8","55"
"Israel","April 13, 1994","Hadera bus station suicide bombing","5","30"
"Argentina","July 18, 1994","Buenos Aires Jewish Center AMIA bombing","85","300"
"United Kingdom","July 26, 1994","The 1994 London Israeli Embassy attack","0","20"
"Israel","October 19, 1994","The Dizengoff Street bus bombing was a Hamas suicide attack on a passenger bus driving down Dizengoff Street in Tel Aviv.","22","50"
"Israel","November 11, 1994","Netzarim Junction bicycle bombing","3","12"
"Philippines","December 11, 1994","A bomb explodes on board Philippine Airlines Flight 434 which was flying from Manila to Tokyo, the plane lands safely at Naha Airport in Okinawa.","1","10"
"Algeria","December 24, 1994","Air France Flight 8969 hijacking in Algiers by 3 members of Armed Islamic Group of Algeria and another terrorist.","7","25"
"Israel","January 22, 1995","The Beit Lid suicide bombing was a suicide attack by Palestinian Islamic Jihad","20","69"
"Israel","January 30, 1995","A car bomb exploded outside of a police station.","42","286"
"Israel","July 20, 1995","A bomb on a motor scooter exploded at a marketplace in Jammu. Harkat-ul-Ansar claimed responsibility for the bombing.","17","100+"
"Israel","July 24, 1995","The Ramat Gan bus bombing, a suicide attack by Hamas.","5","33"
"France","July 25, 1995","The 1995 Paris Métro and RER bombings were a series of attacks by the Armed Islamic Group of Algeria in France, continuing through October 17, 1995.","8","100+"
"Croatia","October 20, 1995","In the 1995 Rijeka bombing a suicide bomber attempted to destroy a police station by driving a car with a bomb into the wall of the building.","1","29"
"Israel","February 25, 1996","The Jaffa Road bus bombings, two attacks on Jerusalem route 18 buses by Hamas.","45","52"
"Israel","March 4, 1996","The Dizengoff Center suicide bombing was a terror attack by Hamas on the eve of the Jewish holiday of Purim.","13","130"
"Egypt","April 18, 1996","Islamist gunmen fire on the Europa hotel in Cairo.","18","17"
"Saudi Arabia","June 25, 1996","Khobar Towers bombing","20","372"
"China","February 25, 1997","Three bombs explode on three buses in the Xinjiang capital of Ürümqi","9","74"
"Israel","March 21, 1997","The Café Apropo bombing was a Hamas suicide bomber who detonated at a Tel Aviv sidewalk café.","3","46"
"Israel","July 30, 1997","The 1997 Mahane Yehuda Market bombings were two consecutive suicide bombings carried out by Hamas militants at the Mahane Yehuda Market in Jerusalem.","16","178"
